BALANCE,PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_TRX,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS
40.900749,95.4,0.166667,0,95.4,2,0,1000,201.802084
3202.467416,0,0,0,0,0,6442.945483,7000,4103.032597
2495.148862,773.17,1,773.17,0,12,0,7500,622.066742
1666.670542,1499,0.083333,1499,0,1,205.788017,7500,0
817.714335,16,0.083333,16,0,1,0,1200,678.334763
1809.828751,1333.28,0.666667,0,1333.28,8,0,1800,1400.05777
627.260806,7091.01,1,6402.63,688.38,64,0,13500,6354.314328
1823.652743,436.2,1,0,436.2,12,0,2300,679.065082
1014.926473,861.49,0.333333,661.49,200,5,0,7000,688.278568
152.225975,1281.6,0.166667,1281.6,0,3,0,11000,1164.770591
1293.124939,920.12,1,0,920.12,12,0,1200,1083.301007
630.794744,1492.18,0.25,1492.18,0,6,0,2000,705.618627
1516.92862,3217.99,1,2500.23,717.76,26,0,3000,608.263689
921.693369,2137.93,0.75,419.96,1717.97,26,0,7500,1655.891435
2772.772734,0,0,0,0,0,346.81139,3000,805.647974
6886.213231,1611.7,0.5,0,1611.7,11,2301.491267,8000,1993.439277
2072.074354,0,0,0,0,0,2784.274703,3000,391.974562
41.089489,519,0.416667,0,519,8,0,2500,254.590662
1989.072228,504.35,0.666667,166,338.35,9,0,13000,1720.837373
3577.970933,398.64,1,0,398.64,12,0,4000,1053.980464
2016.684686,176.68,0.666667,0,176.68,8,0,2000,223.0686
6369.531318,6359.95,1,5910.04,449.91,92,229.028245,11250,2077.959051
132.34224,815.9,1,0,815.9,17,0,1800,2359.629958
3800.151377,4248.35,1,3454.56,793.79,13,7974.415626,9000,9479.043842
5368.571219,0,0,0,0,0,798.949863,6000,1422.726707
169.781679,399.6,1,0,399.6,12,0,3000,215.306142
1615.96724,102,0.166667,102,0,2,244.840485,1700,890.178845
125.694817,233.28,1,0,233.28,12,0,1000,207.773715
7152.864372,387.05,0.666667,204.55,182.5,8,2236.145259,10500,1601.448347
22.06349,100,0.416667,0,100,5,0,6900,160.767773
12136.21996,3038.01,1,1013.2,2024.81,64,3183.583301,13000,4230.323491
1162.273324,1347.71,1,400,947.71,45,175.815755,6000,645.998299
6732.823064,324.95,0.083333,324.95,0,3,1189.533753,10500,1720.118876
125.660453,636.79,0.916667,636.79,0,11,0,1200,423.449696
3517.101616,547.28,1,0,547.28,14,0,11000,8735.607835
1656.350781,0,0,0,0,0,99.264367,1800,351.500199
7427.076941,0,0,0,0,0,8873.375046,9000,1636.361601
4047.480828,2380.55,0.75,1642.17,738.38,41,1697.660901,5000,1617.894416
6269.418144,204,0.083333,204,0,2,2925.699862,9000,1237.111661
1411.60223,963.24,0.083333,963.24,0,6,6173.682877,7500,20071.07544
663.44781,0,0,0,0,0,3133.063934,1800,3067.05783
784.889762,1526.59,0.583333,786.3,740.29,27,2188.419607,3000,1262.309666
4104.710798,203.82,0.083333,203.82,0,1,0,4500,868.275275
1360.742377,0,0,0,0,0,1481.587093,1500,378.294227
5315.945594,1525.44,1,469.8,1055.64,20,0,8500,1430.341501
2242.311686,437,0.333333,97,340,5,184.648692,2400,0
474.447149,109.74,0.375,0,109.74,3,1013.659552,1700,176.013005
3910.111237,0,0,0,0,0,1980.873201,4200,0
229.867179,2390.6,1,1402.93,987.67,87,0,3300,2543.953559
863.809833,507.5,0.166667,507.5,0,3,695.097159,4000,587.866451
4931.331857,901.42,0.625,646.07,255.35,9,8530.648614,12000,8113.297346
1078.888565,3107.85,0.666667,2221.74,886.11,18,0,2500,1399.82834
1565.681099,0,0,0,0,0,321.359135,3500,691.825279
464.674156,1979.22,0.666667,1979.22,0,11,1981.265503,3000,3110.052742
6.660517,310,0.666667,0,310,8,0,1000,417.016763
1311.995984,1283.9,0.25,1283.9,0,6,0,6000,0
3625.218146,313.27,0.25,313.27,0,4,668.468743,4000,0
2386.330629,5217.62,0.916667,4789.09,428.53,42,0,7500,5678.729613
3971.138765,0,0,0,0,0,224.575517,4000,764.938728
5493.90406,229,0.416667,0,229,6,970.591332,6000,2110.557023
1879.114033,113,0.166667,113,0,2,0,6500,3509.686561
1555.793701,66.2,0.083333,66.2,0,1,0,1600,338.083661
