BALANCE,PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_TRX,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,Cluster,t-SNE 1,t-SNE 2,t-SNE 3
40.900749,95.4,0.166667,0.0,95.4,2,0.0,1000.0,201.802084,Normal_2,-13.78679,-5.364688,5.3648267
2495.148862,773.17,1.0,773.17,0.0,12,0.0,7500.0,622.066742,Normal_1,4.05715,4.812756,-3.217545
1666.670542,1499.0,0.083333,1499.0,0.0,1,205.788017,7500.0,0.0,Normal_1,1.271063,-1.7175366,7.437729
817.714335,16.0,0.083333,16.0,0.0,1,0.0,1200.0,678.334763,Normal_2,-14.952893,0.5362947,1.2521414
1809.828751,1333.28,0.666667,0.0,1333.28,8,0.0,1800.0,1400.05777,Normal_1,-0.5065794,-10.047178,-0.751964
1823.652743,436.2,1.0,0.0,436.2,12,0.0,2300.0,679.065082,Normal_2,3.961089,-7.0088563,-12.745892
1014.926473,861.49,0.333333,661.49,200.0,5,0.0,7000.0,688.278568,Normal_1,1.3730226,-3.2260098,8.330608
152.225975,1281.6,0.166667,1281.6,0.0,3,0.0,11000.0,1164.770591,Normal_1,4.909632,-1.3310422,9.776972
1293.124939,920.12,1.0,0.0,920.12,12,0.0,1200.0,1083.301007,Normal_2,7.041163,-8.29869,-11.600517
630.794744,1492.18,0.25,1492.18,0.0,6,0.0,2000.0,705.618627,Normal_1,-5.5842824,-2.6805096,2.4811609
921.693369,2137.93,0.75,419.96,1717.97,26,0.0,7500.0,1655.891435,Normal_1,15.117966,-5.740029,0.56155187
2772.772734,0.0,0.0,0.0,0.0,0,346.81139,3000.0,805.647974,Normal_3,-9.356339,10.624523,-8.1676035
2072.074354,0.0,0.0,0.0,0.0,0,2784.274703,3000.0,391.974562,Normal_3,-7.7376213,16.650564,0.54728025
41.089489,519.0,0.416667,0.0,519.0,8,0.0,2500.0,254.590662,Normal_2,-5.009742,-11.450832,3.910814
1989.072228,504.35,0.666667,166.0,338.35,9,0.0,13000.0,1720.837373,Normal_1,8.878019,-3.9774764,10.028382
3577.970933,398.64,1.0,0.0,398.64,12,0.0,4000.0,1053.980464,Normal_3,3.4886265,4.160263,-7.2150917
2016.684686,176.68,0.666667,0.0,176.68,8,0.0,2000.0,223.0686,Normal_2,-5.3631473,-6.0424213,-6.839261
132.34224,815.9,1.0,0.0,815.9,17,0.0,1800.0,2359.629958,Normal_1,7.118616,-9.257312,-9.9090185
169.781679,399.6,1.0,0.0,399.6,12,0.0,3000.0,215.306142,Normal_2,8.836016,-15.010741,-2.585685
1615.96724,102.0,0.166667,102.0,0.0,2,244.840485,1700.0,890.178845,Normal_2,-12.018714,0.8358632,-3.8959222
125.694817,233.28,1.0,0.0,233.28,12,0.0,1000.0,207.773715,Normal_2,4.737961,-17.386223,-7.776879
22.06349,100.0,0.416667,0.0,100.0,5,0.0,6900.0,160.767773,Normal_2,1.87017,-6.1262984,9.933042
1162.273324,1347.71,1.0,400.0,947.71,45,175.815755,6000.0,645.998299,Normal_1,10.200068,-5.2590055,-1.6700948
125.660453,636.79,0.916667,636.79,0.0,11,0.0,1200.0,423.449696,Normal_2,1.6531485,-11.100837,-5.949644
1656.350781,0.0,0.0,0.0,0.0,0,99.264367,1800.0,351.500199,Normal_2,-16.295174,7.864603,-5.7885857
4047.480828,2380.55,0.75,1642.17,738.38,41,1697.660901,5000.0,1617.894416,Normal_3,7.295747,4.070262,-7.2336316
784.889762,1526.59,0.583333,786.3,740.29,27,2188.419607,3000.0,1262.309666,Normal_3,-1.6431526,-1.2470982,-9.200423
4104.710798,203.82,0.083333,203.82,0.0,1,0.0,4500.0,868.275275,Normal_3,-4.550673,11.505203,-8.73407
1360.742377,0.0,0.0,0.0,0.0,0,1481.587093,1500.0,378.294227,Normal_3,-13.645724,13.023434,4.506323
2242.311686,437.0,0.333333,97.0,340.0,5,184.648692,2400.0,0.0,Normal_2,-9.707972,-1.874715,-6.503087
474.447149,109.74,0.375,0.0,109.74,3,1013.659552,1700.0,176.013005,Normal_2,-10.45711,-3.7475584,0.24818195
3910.111237,0.0,0.0,0.0,0.0,0,1980.873201,4200.0,0.0,Normal_3,-5.4181037,14.776536,-5.8752666
229.867179,2390.6,1.0,1402.93,987.67,87,0.0,3300.0,2543.953559,Normal_1,13.023069,0.24049723,-3.9289296
863.809833,507.5,0.166667,507.5,0.0,3,695.097159,4000.0,587.866451,Normal_2,-7.3924303,3.6603181,-2.6936119
